,Tile,course_description,curriculum,href,text
Building LLM Applications using Prompt Engineering - Free Course,Building LLM Applications using Prompt Engineering - Free Course,"This course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational AI systems in real-world projects.","Chapter: How to build diffferent LLM AppIications?
Lessons: Introduction to Building Different LLM applications, Prompt Engineering, Retrieval Augmented Generation, Finetuning LLMs, Training LLMs from Scratch, Quiz

Chapter: Getting Started with Prompt Engineering
Lessons: Course handouts, Introduction to Prompt Engineering, Set up your machine for Prompt Engineering, Prompt Engineering with ChatGPT API, Enabling Conversation with ChatGPT API, Quiz

Chapter: Understanding Different Prompt Engineering Techniques
Lessons: Introduction to Understanding Different Prompt Engineering Techniques, Few Shot Prompting, One Shot Prompting, Zero Shot Prompting, Quiz, Assignment

",https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,"Building LLM Applications using Prompt Engineering - Free CourseThis course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational AI systems in real-world projects."
Building Your First Computer Vision Model - Free Course,Building Your First Computer Vision Model - Free Course,"This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.","Chapter: Introduction to Computer Vision
Lessons: Pixel Perfect - Decoding Images, Understanding a CNN - Convolutional Layer, Hands on - Image Processing Techniques, Understanding a CNN - Striding and Pooling, Understanding a CNN - Pooling Layer, Understanding AlexNet and Building a CNN Model, Quiz

",https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model,"Building Your First Computer Vision Model - Free CourseThis course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images."
Bagging and Boosting ML Algorithms - Free Course,Bagging and Boosting ML Algorithms - Free Course,"This course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.","Chapter: Bagging
Lessons: Resources to be used in this course, Problem Statement, Understanding Ensemble Learning, Introducing Bagging Algorithms, Hands-on to Bagging Meta Estimator, Introduction to Random Forest, Understanding Out-Of-Bag Score, Random Forest VS Classical Bagging VS Decision Tree, Project

Chapter: Boosting
Lessons: Introduction to Boosting, AdaBoost Step-by-Step Explanation, Hands-on - AdaBoost, Gradient Boosting Machines (GBM), Hands-on Gradient Boost, Other Algo (XGBoost, LightBoost. CatBoost), Project: Anova Insurance

",https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,"Bagging and Boosting ML Algorithms - Free CourseThis course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects."
MidJourney: From Inspiration to Implementation - Free Course,MidJourney: From Inspiration to Implementation - Free Course,"This course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons.","Chapter: MidJourney
Lessons: MidJourney - Storm _ Story, MidJourney - Inspiration, MidJourney - How to use, MidJourney  Alternatives, Quiz

",https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,"MidJourney: From Inspiration to Implementation - Free CourseThis course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons."
Understanding Linear Regression - Free Course,Understanding Linear Regression - Free Course,"This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression.","Chapter: Linear Regression
Lessons: Introduction to the Problem Statement, Resources for this Course, Introduction to Linear Regression, Significance of Slope and Intercept in the linear regression, How Model Decides The Best-Fit Line, Let’s Build a Simple Linear Regression Model, Model Understanding Using Descriptive Approach, Model Understanding Using Descriptive Approach - II, Model Building Using Predictive Approach, Quiz: Linear regression

",https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,"Understanding Linear Regression - Free CourseThis free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression."
The Working of Neural Networks - Free Course,The Working of Neural Networks - Free Course,"This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.","Chapter: Understanding the working of Neural Networks
Lessons: How are Neural Networks trained - Forward Propagation, Understanding Loss Functions + Hands on, Reading: Creating a Custom Loss Function (Optional), Optimization Techniques - Gradient Descent, What is Back Propagation?, Types of Gradient Descent, Common Optimization Techniques - Part 1, Common Optimization Techniques - Part 2, Building a Deep Neural Network (Hands-on Regression Model), Building a Deep Neural Network (Hands-on Classification Model), Quiz

",https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks,"The Working of Neural Networks - Free CourseThis free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course."
The A to Z of Unsupervised ML - Free Course,The A to Z of Unsupervised ML - Free Course,"Unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.","Chapter: Understanding Unsupervised Machine Learning
Lessons: Resources to be used in this course., Setting the Context, Choosing Clustering Algorithms, Solving our Problem using k-means - Part 1, Solving our Problem using k-means - Part 2, Finding optimal K value, Analysis and Insights Based on the Plots, Introduction to Hierarchical Clustering Analysis (HCA), Solving our Problem using Hierarchical Clustering, Introduction to DBSCAN Clustering, Solving our Problem using DBSCAN, Reading: Applications of Clustering in the Real World, Project

",https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,"The A to Z of Unsupervised ML - Free CourseUnsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable."
Building Your first RAG System using LlamaIndex - Free Course,Building Your first RAG System using LlamaIndex - Free Course,"This course will guide you through building your first Retrieval-Augmented Generation (RAG) system using LlamaIndex. You will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. Next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. Finally, you will employ a query engine to generate responses. By the end of this course, you will have a solid understanding of these processes and be able to build an RAG system using LlamaIndex code effectively.","Chapter: Introduction to RAG systems
Lessons: Welcome to this course, Why RAG, What is RAG system, Overview of RAG Framework, Quiz, Course handouts

Chapter: Getting Started with LlamaIndex
Lessons: Introduction to LlamaIndex, Components of LlamaIndex, Reading Material: How to get your API Key, How to get Open AI Keys - 2 min - Website go through, Build Your First RAG system using LlamaIndex, Quiz

",https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,"Building Your first RAG System using LlamaIndex - Free CourseThis course will guide you through building your first Retrieval-Augmented Generation (RAG) system using LlamaIndex. You will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. Next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. Finally, you will employ a query engine to generate responses. By the end of this course, you will have a solid understanding of these processes and be able to build an RAG system using LlamaIndex code effectively."
Data Preprocessing on a Real-World Problem Statement - Free Course,Data Preprocessing on a Real-World Problem Statement - Free Course,"This course will help you get a practical understanding of Data Preprocessing. After this course, you can work on any data and prepare it for modelling. With a carefully curated list of resources, this course is your first step to becoming a Data Scientist. By the end of the course, you will have mastered techniques like EDA and Missing Value Treatment.","Chapter: Preparing the Dataset for Machine Learning Model
Lessons: Resources to be used in this course, Introduction to Problem Statement, Reading Material - Understanding the Data, ML-workflow, Tasks to be Performed, Combining Product Attribute Data with POS Data, Combining all the tables in the Dataframe, Understanding the Combined Data, Treating Missing Values - Part 1, Treating Missing Values Part - 2, Outlier Detection and Treatment, Preparing the Dataset for Supervised and Unsupervised Models, Generative AI for Data Analysis

",https://courses.analyticsvidhya.com/courses/data-preprocessing,"Data Preprocessing on a Real-World Problem Statement - Free CourseThis course will help you get a practical understanding of Data Preprocessing. After this course, you can work on any data and prepare it for modelling. With a carefully curated list of resources, this course is your first step to becoming a Data Scientist. By the end of the course, you will have mastered techniques like EDA and Missing Value Treatment."
Exploring Stability.AI - Free Course,Exploring Stability.AI - Free Course,"This course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.","Chapter: Mastering stability.ai and its tools
Lessons: Introduction to Stability, How to use Stability.AI tools, Review of Deployment Options for SD WebUI, Automatic1111 WebUI on RunPod GPU environment, SD WebUI Hands-On - Installation and Setup, SD WebUI Hands-On - Generation and Settings, Quiz

",https://courses.analyticsvidhya.com/courses/exploring-stability-ai,"Exploring Stability.AI - Free CourseThis course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects."
Building a Text Classification Model with Natural Language Processing - Free Course,Building a Text Classification Model with Natural Language Processing - Free Course,"Gain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.","Chapter: Introduction to NLP
Lessons: What is NLP, Common tasks in a NLP Project, NLP Libraries, Resources for the Course, Methods of Text Preprocessing - Part 1, Methods of Text Preprocessing - Part 2, Methods of Text Preprocessing - Part 3, Quiz

Chapter: Building a basic classification model
Lessons: Introduction to dataset and problem statement, Creating a Basic Review Classification Model, Understanding TF-IDF and its implementations, Understanding N-grams, Advanced Preprocessing Techniques, Building an basic ANN model, Limitations of ANN, Quiz

",https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing,"Building a Text Classification Model with Natural Language Processing - Free CourseGain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry."
Getting Started with Large Language Models,Getting Started with Large Language Models,"This course will help you gain a comprehensive understanding of Large Language Models (LLMs) and develop advanced natural language processing (NLP) applications using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming an expert in LLMs. Master the techniques to build and fine-tune LLMs, and generate human-like text.","Chapter: Introduction
Lessons: Course Objective, Course Handouts, The Exponential Growth

Chapter: The Evolution of NLP
Lessons: The Evolution of NLP: Symbolic NLP, The Evolution of NLP: Statistical NLP, The Evolution of NLP: Deep Learning, The Evolution of NLP: Deep Learning Era II, The Evolution of NLP: Tranformers and Evolution, Quiz

Chapter: What are Large Language Models?
Lessons: Introduction to Large Language Model, What is a Large Language Model?, Understanding Foundational Models, Different types of LLMs: Based on Response, Different types of LLMs: Based on Model Architecture, Quiz

Chapter: The Current State of the Art in LLMs
Lessons: The Current State of the Art in LLMs

Chapter: Generative AI - Glossary
Lessons: Generative AI- Glossary

Chapter: Your Feedback Matters!
Lessons: Your Feedback Matters!

",https://courses.analyticsvidhya.com/courses/getting-started-with-llms,"Getting Started with Large Language ModelsThis course will help you gain a comprehensive understanding of Large Language Models (LLMs) and develop advanced natural language processing (NLP) applications using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming an expert in LLMs. Master the techniques to build and fine-tune LLMs, and generate human-like text."
Introduction to Generative  AI,Introduction to Generative  AI,"This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content. You'll learn how generative AI works, engage in practical exercises, and gain the skills to implement these techniques in real-world projects.","Chapter: Introduction to Generative AI
Lessons: What is Generative AI, How does Gen AI work, Quiz, Text Generation with Gen AI, Image Generation with Gen AI, Quiz, Meet your Instructors, Course Handout, Your Feedback Matters!

",https://courses.analyticsvidhya.com/courses/introduction-to-generative-ai,"Introduction to Generative  AIThis course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content. You'll learn how generative AI works, engage in practical exercises, and gain the skills to implement these techniques in real-world projects."
Nano Course: Dreambooth-Stable Diffusion for Custom Images,Nano Course: Dreambooth-Stable Diffusion for Custom Images,Have you ever wondered how to turn your dreams into reality by creating images of your dog traveling around the world or yourself alongside Elon Musk or playing cricket with MSD?,"Chapter: Dreambooth-Stable Diffusion for Custom Images
Lessons: The Current Landscape of Generative AI, Why Stable Diffusion, Recap on History of Stable Diffusion, Intuition behind Stable Diffusion, How to train a Stable Diffusion model, Introduction to Dreambooth, Understanding the Dreambooth Process, Tricks to Name Your Concept Uniquely, How to Select Images for Finetuning Dreambooth, Setting up the Training Environment, Code-Finetuning Dreambooth model on Custom Dataset, The Importance of Captioning in Dreambooth, Differences between Stable Diffusion and Dreambooth

",https://courses.analyticsvidhya.com/courses/nano-course-dreambooth-stable-diffusion-for-custom-images,Nano Course: Dreambooth-Stable Diffusion for Custom ImagesHave you ever wondered how to turn your dreams into reality by creating images of your dog traveling around the world or yourself alongside Elon Musk or playing cricket with MSD?
